Address;USB0::0x0957::0x1724::MY45003122::0::INSTR;
Model;DSO6014A;
Serial Number:;MY45003122;
Firmware Version;06.20.0000;
Start Time;2017-08-17 21:39:37.876;
Stop Time;2017-08-17 22:32:24.377;
Sample Period;0,5;
;;
Time (s);RMS(1) ();RMS(2) ()
2017-08-17 21:42:10.376;222,8;0,1821
2017-08-17 21:42:10.876;222,8;0,1813
2017-08-17 21:42:11.376;222,9;0,1795
2017-08-17 21:42:11.876;222,8;0,1807
2017-08-17 21:42:12.377;222,8;0,1806
2017-08-17 21:42:12.878;223,2;0,1805
2017-08-17 21:42:13.376;223;0,1804
2017-08-17 21:42:13.876;223;0,1812
2017-08-17 21:42:14.376;223;0,1805
2017-08-17 21:42:14.876;223,1;0,1831
2017-08-17 21:42:15.376;223,1;0,1813
2017-08-17 21:42:15.877;223,1;0,1807
2017-08-17 21:42:16.377;223;0,1836
2017-08-17 21:42:16.877;223,3;0,1806
2017-08-17 21:42:17.377;222,8;0,1817
2017-08-17 21:42:17.876;223,1;0,18
2017-08-17 21:42:18.377;223,1;0,1807
2017-08-17 21:42:18.877;223;0,1812
2017-08-17 21:42:19.377;222,9;0,1813
2017-08-17 21:42:19.877;223,1;0,1803
2017-08-17 21:42:20.377;223;0,1803
2017-08-17 21:42:20.876;223;0,1798
2017-08-17 21:42:21.376;223,1;0,1809
2017-08-17 21:42:21.876;223,1;0,1819
2017-08-17 21:42:22.376;222,7;0,1813
2017-08-17 21:42:22.876;223;0,1805
2017-08-17 21:42:23.376;223,1;0,1833
2017-08-17 21:42:23.876;222,8;0,1812
2017-08-17 21:42:24.377;222,9;0,1801
2017-08-17 21:42:24.878;222,8;0,1815
2017-08-17 21:42:25.376;222,8;0,1806
2017-08-17 21:42:25.876;223;0,1796
2017-08-17 21:42:26.376;223,1;0,1829
2017-08-17 21:42:26.876;222,9;0,181
2017-08-17 21:42:27.376;223;0,1806
2017-08-17 21:42:27.876;222,8;0,1805
2017-08-17 21:42:28.376;222,8;0,1803
2017-08-17 21:42:28.876;223;0,1811
2017-08-17 21:42:29.376;222,8;0,1821
2017-08-17 21:42:29.876;223;0,1811
2017-08-17 21:42:30.376;222,9;0,1787
2017-08-17 21:42:30.877;223,1;0,1816
2017-08-17 21:42:31.376;223;0,1811
2017-08-17 21:42:31.876;222,9;0,1803
2017-08-17 21:42:32.376;223;0,1806
2017-08-17 21:42:32.876;222,6;0,1813
2017-08-17 21:42:33.377;222,9;0,1808
2017-08-17 21:42:33.877;223;0,1816
2017-08-17 21:42:34.377;222,8;0,181
2017-08-17 21:42:34.877;222,6;0,1834
2017-08-17 21:42:35.377;222,6;0,1824
2017-08-17 21:42:35.877;222,7;0,1809
2017-08-17 21:42:36.377;223;0,1816
2017-08-17 21:42:36.876;222,9;0,1813
2017-08-17 21:42:37.376;222,7;0,181
2017-08-17 21:42:37.876;222,7;0,18
2017-08-17 21:42:38.376;222,6;0,1817
2017-08-17 21:42:38.876;222,6;0,1814
2017-08-17 21:42:39.376;222,8;0,1817
2017-08-17 21:42:39.876;222,4;0,1808
2017-08-17 21:42:40.376;222,8;0,1842
2017-08-17 21:42:40.876;222,9;0,1811
2017-08-17 21:42:41.376;222,8;0,1834
2017-08-17 21:42:41.876;222,7;0,182
2017-08-17 21:42:42.376;222,8;0,185
2017-08-17 21:42:42.876;222,8;0,182
2017-08-17 21:42:43.376;222,7;0,1851
2017-08-17 21:42:43.876;222,9;0,1806
2017-08-17 21:42:44.376;222,8;0,185
2017-08-17 21:42:44.876;222,9;0,1814
2017-08-17 21:42:45.376;222,8;0,1844
2017-08-17 21:42:45.876;222,9;0,1832
2017-08-17 21:42:46.376;222,9;0,1855
2017-08-17 21:42:46.876;223,1;0,1812
2017-08-17 21:42:47.376;222,5;0,1843
2017-08-17 21:42:47.876;222,9;0,1803
2017-08-17 21:42:48.376;222,6;0,1836
2017-08-17 21:42:48.877;222,8;0,1815
2017-08-17 21:42:49.376;222,9;0,1816
2017-08-17 21:42:49.876;222,9;0,1806
2017-08-17 21:42:50.376;222,9;0,1807
2017-08-17 21:42:50.877;222,8;0,1817
2017-08-17 21:42:51.377;222,9;0,1808
2017-08-17 21:42:51.877;222,6;0,1806
2017-08-17 21:42:52.377;222,9;0,1809
2017-08-17 21:42:52.877;222,8;0,1812
2017-08-17 21:42:53.377;222,9;0,1803
2017-08-17 21:42:53.877;222,9;0,1817
2017-08-17 21:42:54.378;222,8;0,1798
2017-08-17 21:42:54.878;222,7;0,1819
2017-08-17 21:42:55.377;222,9;0,1803
2017-08-17 21:42:55.877;222,8;0,1814
