operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randwrite;32;1;3;9;41.3;6.06
randwrite;32;1;3;10;40.7;6.06
randwrite;32;1;3;11;41.0;6.06
randwrite;32;1;3;12;39.6;5.55
randwrite;32;1;3;13;39.7;5.26
randwrite;32;1;3;14;37.8;5.12
randwrite;32;1;3;15;37.8;5.13
randwrite;32;1;3;16;39.3;5.13
randwrite;32;1;3;17;37.7;5.14
randwrite;32;1;3;18;36.8;5.02
randwrite;32;1;3;19;37.2;4.92
randwrite;32;1;3;20;36.8;4.9
randwrite;32;1;3;21;37.2;4.87
randwrite;32;1;3;22;37.1;4.88
randwrite;32;1;3;23;37.2;4.87
randwrite;32;1;3;24;37.2;4.88
randwrite;32;1;3;25;36.6;4.87
randwrite;32;1;3;26;35.2;4.84
randwrite;32;1;3;27;37.2;4.88
randwrite;32;1;3;28;37.1;4.94
randwrite;32;1;3;29;37.4;4.88
randwrite;32;1;3;30;37.8;4.84
randwrite;32;1;3;31;38.1;4.89
randwrite;32;1;3;32;36.0;4.82
randwrite;32;1;3;33;37.1;4.86
randwrite;32;1;3;34;34.5;4.74
randwrite;32;1;3;35;35.0;4.78
randwrite;32;1;3;36;37.2;4.81
randwrite;32;1;3;37;34.7;4.82
randwrite;32;1;4;0;37.1;4.67
randwrite;32;1;4;1;37.6;4.58
randwrite;32;1;4;2;38.1;4.53
randwrite;32;1;4;3;38.5;5.59
randwrite;32;1;4;4;37.9;5.71
randwrite;32;1;4;5;37.9;5.67
randwrite;32;1;4;6;38.5;5.7
randwrite;32;1;4;7;37.9;5.7
randwrite;32;1;4;8;42.3;6.02
randwrite;32;1;4;9;41.9;6.08
randwrite;32;1;4;10;41.2;6.14
randwrite;32;1;4;11;41.2;6.14
randwrite;32;1;4;12;38.5;5.46
randwrite;32;1;4;13;39.0;5.22
randwrite;32;1;4;14;38.3;5.21
randwrite;32;1;4;15;39.2;5.22
randwrite;32;1;4;16;37.4;5.1
randwrite;32;1;4;17;38.9;5.13
randwrite;32;1;4;18;38.2;5.07
randwrite;32;1;4;19;37.0;4.87
randwrite;32;1;4;20;35.1;4.87
randwrite;32;1;4;21;37.1;4.87
randwrite;32;1;4;22;37.1;4.9
randwrite;32;1;4;23;37.0;4.87
randwrite;32;1;4;24;35.1;4.82
randwrite;32;1;4;25;37.1;4.87
randwrite;32;1;4;26;34.9;4.83
randwrite;32;1;4;27;35.1;4.81
randwrite;32;1;4;28;34.8;4.81
randwrite;32;1;4;29;34.8;4.78
randwrite;32;1;4;30;34.9;4.83
randwrite;32;1;4;31;35.1;4.83
randwrite;32;1;4;32;34.8;4.81
randwrite;32;1;4;33;34.3;4.67
randwrite;32;1;4;34;35.1;4.95
randwrite;32;1;4;35;35.0;4.77
randwrite;32;1;4;36;34.6;4.79
randwrite;32;1;4;37;34.7;4.79
randwrite;32;0;1;0;39.0;4.65
randwrite;32;0;1;1;39.9;4.54
randwrite;32;0;1;2;41.9;4.52
randwrite;32;0;1;3;41.8;4.55
randwrite;32;0;1;4;40.0;4.56
randwrite;32;0;1;5;40.7;4.55
randwrite;32;0;1;6;40.4;4.57
randwrite;32;0;1;7;40.4;4.57
randwrite;32;0;1;8;41.2;4.54
randwrite;32;0;1;9;41.7;4.57
randwrite;32;0;1;10;40.6;4.55
randwrite;32;0;1;11;40.5;4.55
randwrite;32;0;1;12;40.3;4.55
randwrite;32;0;1;13;41.2;4.56
randwrite;32;0;1;14;41.3;4.58
randwrite;32;0;1;15;40.9;4.57
randwrite;32;0;1;16;40.0;4.57
randwrite;32;0;1;17;40.9;4.56
randwrite;32;0;1;18;41.8;4.58
randwrite;32;0;1;19;41.7;4.55
randwrite;32;0;1;20;41.1;4.55
randwrite;32;0;1;21;40.9;4.61
randwrite;32;0;1;22;41.4;4.56
randwrite;32;0;1;23;39.9;4.58
randwrite;32;0;1;24;40.0;4.55
randwrite;32;0;1;25;41.2;4.56
randwrite;32;0;1;26;40.7;4.55
randwrite;32;0;1;27;41.5;4.55
