operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randwrite;32;0;1;16;35.9;4.53
randwrite;32;0;1;17;35.9;4.56
randwrite;32;0;1;18;38.4;4.56
randwrite;32;0;1;19;38.4;4.54
randwrite;32;0;1;20;36.7;4.54
randwrite;32;0;1;21;38.3;4.56
randwrite;32;0;1;22;36.3;4.57
randwrite;32;0;1;23;38.0;4.56
randwrite;32;0;1;24;36.6;4.55
randwrite;32;0;1;25;36.8;4.53
randwrite;32;0;1;26;38.0;4.54
randwrite;32;0;1;27;39.0;4.56
randwrite;32;0;1;28;38.9;4.55
randwrite;32;0;1;29;36.3;4.55
randwrite;32;0;1;30;38.3;4.54
randwrite;32;0;1;31;40.0;4.54
randwrite;32;0;1;32;39.1;4.55
randwrite;32;0;1;33;35.8;4.56
randwrite;32;0;1;34;36.3;4.56
randwrite;32;0;1;35;36.5;4.57
randwrite;32;0;1;36;37.5;4.56
randwrite;32;0;1;37;37.9;4.55
randwrite;32;0;1;38;39.1;4.55
randwrite;32;0;1;39;36.6;4.55
randwrite;32;0;1;40;35.8;4.54
randwrite;32;0;1;41;36.1;4.55
randwrite;32;0;1;42;36.2;4.55
randwrite;32;0;1;43;37.6;4.55
randwrite;32;0;1;44;39.4;4.56
randwrite;32;0;1;45;36.5;4.54
randwrite;32;0;1;46;36.3;4.57
randwrite;32;0;1;47;37.3;4.55
randwrite;32;0;1;48;37.6;4.56
randwrite;32;0;1;49;36.8;4.54
randwrite;32;0;1;50;36.2;4.55
randwrite;32;0;1;51;35.9;4.55
randwrite;32;0;1;52;36.4;4.52
randwrite;32;0;1;53;38.1;4.55
randwrite;32;0;1;54;36.4;4.57
randwrite;32;0;1;55;36.1;4.54
randwrite;32;0;1;56;38.6;4.55
randwrite;32;0;1;57;40.5;4.56
randwrite;32;0;1;58;39.6;4.56
randwrite;32;0;1;59;36.6;4.53
randwrite;32;0;2;0;37.1;4.63
randwrite;32;0;2;1;38.9;4.58
randwrite;32;0;2;2;37.3;4.54
randwrite;32;0;2;3;36.4;4.56
randwrite;32;0;2;4;35.9;4.57
randwrite;32;0;2;5;36.5;4.55
randwrite;32;0;2;6;36.1;4.57
randwrite;32;0;2;7;36.8;4.56
randwrite;32;0;2;8;39.2;4.56
randwrite;32;0;2;9;37.5;4.57
randwrite;32;0;2;10;39.0;4.56
randwrite;32;0;2;11;36.8;4.58
randwrite;32;0;2;12;36.5;4.57
randwrite;32;0;2;13;36.6;4.54
randwrite;32;0;2;14;36.8;4.57
randwrite;32;0;2;15;36.9;4.55
randwrite;32;0;2;16;36.6;4.54
randwrite;32;0;2;17;36.3;4.56
randwrite;32;0;2;18;38.9;4.57
randwrite;32;0;2;19;36.2;4.56
randwrite;32;0;2;20;36.1;4.56
randwrite;32;0;2;21;36.2;4.55
randwrite;32;0;2;22;36.1;4.55
randwrite;32;0;2;23;36.3;4.55
randwrite;32;0;2;24;36.1;4.56
randwrite;32;0;2;25;37.4;4.56
randwrite;32;0;2;26;39.4;4.55
randwrite;32;0;2;27;38.1;4.56
randwrite;32;0;2;28;38.9;4.55
randwrite;32;0;2;29;36.8;4.57
randwrite;32;0;2;30;35.7;4.55
randwrite;32;0;2;31;35.9;4.56
randwrite;32;0;2;32;36.2;4.56
randwrite;32;0;2;33;35.6;4.57
randwrite;32;0;2;34;37.2;4.54
randwrite;32;0;2;35;38.4;4.57
randwrite;32;0;2;36;39.1;4.55
randwrite;32;0;2;37;40.5;4.56
randwrite;32;0;2;38;38.0;4.56
randwrite;32;0;2;39;36.3;4.58
randwrite;32;0;2;40;36.4;4.55
randwrite;32;0;2;41;36.3;4.56
randwrite;32;0;2;42;35.9;4.54
randwrite;32;0;2;43;36.3;4.56
randwrite;32;0;2;44;37.0;4.58
randwrite;32;0;2;45;38.1;4.62
randwrite;32;0;2;46;39.3;4.56
randwrite;32;0;2;47;38.8;4.55
