equipment;repetition;operation;size;bandwidth
CUBIE;4;read;0.000512;1319.71
CUBIE;4;read;536.87;973.51
CUBIE;4;read;0.004096;1334.13
CUBIE;4;read;0.001024;1327.93
CUBIE;4;read;33.55;968.27
CUBIE;4;read;0.016384;1319.76
CUBIE;4;read;0.008192;1332.2
CUBIE;4;read;0.262144;1070.39
CUBIE;4;read;0.524288;980.98
CUBIE;4;read;2.1;942.12
CUBIE;4;read;0.032768;1272.25
CUBIE;4;read;1073.74;963.94
CUBIE;4;read;67.11;973.03
CUBIE;4;read;16.78;966.93
CUBIE;4;read;0.002048;1329.27
CUBIE;4;read;8.39;960.01
CUBIE;4;read;1.05;953.94
CUBIE;4;read;4.19;928.97
CUBIE;4;read;268.44;963.15
CUBIE;4;read;134.22;969.0
CUBIE;4;read;0.065536;1272.66
CUBIE;4;write;0.131072;2240.75
CUBIE;4;write;0.000512;3638.51
CUBIE;4;write;536.87;284.15
CUBIE;4;write;0.004096;3913.13
CUBIE;4;write;0.001024;3787.71
CUBIE;4;write;33.55;288.4
CUBIE;4;write;0.016384;3938.92
CUBIE;4;write;0.008192;3934.89
CUBIE;4;write;0.262144;1182.28
CUBIE;4;write;0.524288;393.68
CUBIE;4;write;2.1;277.92
CUBIE;4;write;0.032768;2954.59
CUBIE;4;write;1073.74;283.96
CUBIE;4;write;67.11;284.07
CUBIE;4;write;16.78;286.07
CUBIE;4;write;0.002048;3867.04
CUBIE;4;write;8.39;279.34
CUBIE;4;write;1.05;295.46
CUBIE;4;write;4.19;279.36
CUBIE;4;write;268.44;284.16
CUBIE;4;write;134.22;286.76
CUBIE;4;write;0.065536;2494.19
