equipment;device;operation;reqsize;cache;repetition;measurement;freq0;freq1;freq2;freq3;freq4;freq5;freq6;freq7
pc;ssd2;read;32;0;5;53;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;54;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;55;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;56;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;57;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;58;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;59;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;60;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;6;0;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;6;1;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;6;2;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;6;3;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;6;4;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;6;5;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;6;6;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;6;7;3000;3000;3000;3000;3000;3000;3000;3000
