equipment;device;operation;reqsize;cache;repetition;measurement;rms1;rms2
PC;SSD2;read;4096;0;8;42;221.4;0.1926
PC;SSD2;read;4096;0;8;43;221.7;0.1933
PC;SSD2;read;4096;0;8;44;221.3;0.194
PC;SSD2;read;4096;0;8;45;221.4;0.192
PC;SSD2;read;4096;0;8;46;221.6;0.1931
PC;SSD2;read;4096;0;8;47;221.5;0.1926
PC;SSD2;read;4096;0;8;48;221.4;0.1932
PC;SSD2;read;4096;0;8;49;221.6;0.1922
PC;SSD2;read;4096;0;8;50;221.2;0.1925
PC;SSD2;read;4096;0;8;51;221.6;0.1914
PC;SSD2;read;4096;0;8;52;221.6;0.1918
PC;SSD2;read;4096;0;8;53;221.2;0.1929
PC;SSD2;read;4096;0;8;54;221.8;0.193
PC;SSD2;read;4096;0;8;55;221.5;0.1928
PC;SSD2;read;4096;0;8;56;221.4;0.1923
PC;SSD2;read;4096;0;8;57;221.6;0.1938
PC;SSD2;read;4096;0;8;58;221.8;0.1943
PC;SSD2;read;4096;0;8;59;221.7;0.1939
PC;SSD2;read;4096;0;8;60;221.3;0.1931
PC;SSD2;read;4096;0;8;61;221.6;0.1955
PC;SSD2;write;32;0;5;0;221.8;0.1748
PC;SSD2;write;32;0;5;1;221.7;0.1794
PC;SSD2;write;32;0;5;2;221.7;0.1745
PC;SSD2;write;32;0;5;3;222.0;0.1747
PC;SSD2;write;32;0;5;4;221.7;0.2179
PC;SSD2;write;32;0;5;5;221.5;0.2493
PC;SSD2;write;32;0;5;6;221.4;0.245
PC;SSD2;write;32;0;5;7;221.8;0.2449
PC;SSD2;write;32;0;5;8;221.7;0.2435
PC;SSD2;write;32;0;5;9;221.6;0.2641
PC;SSD2;write;32;0;5;10;221.7;0.2853
PC;SSD2;write;32;0;5;11;222.0;0.2551
PC;SSD2;write;32;0;5;12;220.6;0.2209
PC;SSD2;write;32;0;5;13;221.0;0.2592
PC;SSD2;write;32;0;5;14;220.5;0.2461
PC;SSD2;write;32;0;5;15;220.8;0.2253
PC;SSD2;write;32;0;5;16;220.6;0.2018
PC;SSD2;write;32;0;5;17;221.2;0.2459
PC;SSD2;write;32;0;5;18;221.1;0.208
PC;SSD2;write;32;0;5;19;221.6;0.2463
PC;SSD2;write;32;0;5;20;221.6;0.2719
PC;SSD2;write;32;0;5;21;221.7;0.2481
PC;SSD2;write;32;0;5;22;221.6;0.2453
PC;SSD2;write;32;0;5;23;221.5;0.183
PC;SSD2;write;32;0;5;24;221.6;0.2457
PC;SSD2;write;32;0;5;25;221.5;0.2457
PC;SSD2;write;32;0;5;26;221.8;0.2451
PC;SSD2;write;32;0;5;27;221.3;0.2444
PC;SSD2;write;32;0;5;28;221.3;0.182
PC;SSD2;write;32;0;5;29;221.4;0.2469
PC;SSD2;write;32;0;5;30;221.5;0.244
PC;SSD2;write;32;0;5;31;221.8;0.2438
PC;SSD2;write;32;0;5;32;221.8;0.2441
PC;SSD2;write;32;0;5;33;221.8;0.1859
PC;SSD2;write;32;0;5;34;221.5;0.2764
PC;SSD2;write;32;0;5;35;221.8;0.2452
PC;SSD2;write;32;0;5;36;221.5;0.2462
PC;SSD2;write;32;0;5;37;221.7;0.2449
PC;SSD2;write;32;0;5;38;221.8;0.193
PC;SSD2;write;32;0;5;39;221.6;0.246
PC;SSD2;write;32;0;5;40;221.6;0.2449
PC;SSD2;write;32;0;5;41;221.4;0.2585
PC;SSD2;write;32;0;5;42;221.6;0.246
PC;SSD2;write;32;0;5;43;221.4;0.2169
PC;SSD2;write;32;0;5;44;221.4;0.2462
PC;SSD2;write;32;0;5;45;221.4;0.2448
PC;SSD2;write;32;0;5;46;221.8;0.2453
PC;SSD2;write;32;0;5;47;221.4;0.2348
PC;SSD2;write;32;0;5;48;221.3;0.1866
PC;SSD2;write;32;0;5;49;221.7;0.2718
PC;SSD2;write;32;0;5;50;221.5;0.239
PC;SSD2;write;32;0;5;51;221.4;0.2452
PC;SSD2;write;32;0;5;52;221.7;0.2475
PC;SSD2;write;32;0;5;53;221.5;0.2206
PC;SSD2;write;32;0;5;54;221.7;0.2464
PC;SSD2;write;32;0;5;55;221.5;0.1873
PC;SSD2;write;32;0;5;56;221.7;0.246
PC;SSD2;write;32;0;5;57;221.4;0.248
